sore_throat,headache,disturbance_of_consciousness,convulsions,dizzy,restlessness,dementia,stridor,dyspnea,hypoxemia,coughing,pleural_effusion,blood_stained_sputum,interstitial_pattern,shock_state,chest_pain,syncope,tachycardia,edema,hypertension,hematemesis,upper_abdominal_pain,lower_abdominal_pain,low_back_pain,melena,ascites,constipation,diarrhea,vomiting,,nephrosis,high_CPK,liver_dysfunction,high_ALP,jaundice,respiratory acidosis,metabolic acidosis,hyperkalemia,hypokalemia,hypernatremia,hyponatremia,hypercalcemia,hypocalcemia,anemia,pancytopenia,eosinophilia,thrombocytopenia,coagulation disorder,paralysis,weakness,numbness,arthralgia,FUO,boredom
のどが痛い,頭が痛い,意識がおかしい,けいれんしている,めまい/ふらつき,不穏,認知症/性格変化,ゼーゼーする,息が苦しい,SpO2が低い,咳が出る,胸水貯留,血痰がでた,肺野の間質影,ショック状態,胸が苦しい,失神した,脈が速い,浮腫がある,血圧が高い,吐血した,上腹部の痛み,下腹部の痛み,腰背部痛,下血した,腹水貯留,便秘している,下痢,嘔吐した,尿量が少ない,尿検査,ネフローゼ,血糖値の異常,CPK上昇,肝機能異常,呼吸性アシドーシス,代謝性アシドーシス,代謝性アルカローシス,低 K 血症,高 Na 血症,低 Na 血症,不明熱,高 Ca 血症,貧血,汎血球減少,好酸球増多症,血小板減少症,凝固異常,手足の麻痺,力が入らない,手足のしびれ,関節痛,不明熱,倦怠感
伝染性単核球症,側頭動脈炎,敗血症,"低 Na, 低 Mg, 低 Ca 症",低血糖,尿閉,アルコール離脱,気管支喘息,気胸,敗血症,ACE阻害薬,ネフローゼ症候群,凝固異常,尿毒症,迷走神経反射,異型狭心症,頻拍性不整脈,心房細動,蛋白漏出性胃腸症,睡眠時無呼吸症候群,胸部大動脈瘤,副腎不全,骨盤子宮内膜炎,子宮内膜症,急性腸炎,腹膜炎,結腸/直腸癌,炎症性腸疾患,急性胃炎/胃潰瘍,尿閉,微小変化群,低 Na / 低 K 血症,中心静脈栄養,白血病/リンパ腫,骨髄異形成症候群,COPD,下痢,副腎不全,甲状腺機能亢進症,脱水症,高血糖,褐色細胞腫,慢性腎不全,悪性貧血,血液悪性腫瘍,喘息/アレルギー,偽性血小板減少症,血友病,低 K 血症,頚椎症,血管炎,感染性関節炎,深部静脈血栓症,結核
化膿性扁桃炎,副鼻腔炎,低 Na 血症,低血糖,"低 Na , 高 K 血症 ",薬剤性不穏,ウェルニッケ脳症,アナフィラキシー,COPD,間質性肺炎,気管支喘息,腎不全,肺結核,粟粒結核,洞不全症候群,胃炎/胃潰瘍,QT延長,上室性頻拍症,貧血,脳出血/梗塞,喀血,ケトアシドーシス,虫垂炎,骨盤子宮内膜症,虚血性腸炎,ネフローゼ,アミロイドーシス,偽膜性腸炎,緑内障,脱水症,糖尿病性腎症,悪性貧血,薬剤性肝障害,薬剤性肝障害,溶血性貧血,神経筋疾患,尿細管性アシドーシス,糖尿病,低 Mg 血症,尿閉解除後利尿期,脱水,副腎不全,高 P 血症,甲状腺機能低下症,MDS/再生不良性貧血,好酸球増多症候群,ヘパリン起因性血小板減少,ヘパリン,症候性てんかん,多発性硬化症,VitB12欠乏,痛風,甲状腺機能亢進症,感染性心内膜炎
扁桃周囲膿瘍,くも膜下出血,高 Ca 血症,甲状腺機能異常,パーキンソン病,アルコール離脱,尿毒症,緊張性気胸,収縮性心膜炎,肺炎,逆流性食道炎,甲状腺機能低下,血管炎,ニューモシスチス肺炎,頻脈性不整脈,頻脈性不整脈,洞不全症候群,心室頻拍,ネフローゼ,甲状腺機能亢進症,食道静脈瘤破裂,SMA 閉塞,髄膜炎,子宮外妊娠,虚血性腸疾患,甲状腺機能低下症,糖尿病,感染性腸炎,偏頭痛,急速進行性腎炎,SLE,MDS,アルコール性肝炎,甲状腺機能亢進症,悪性貧血,甲状腺機能低下症,乳酸アシドーシス,腎不全,アルカローシス,糖尿病/浸透圧利尿薬,副腎不全,悪性腫瘍,低 Mg 血症,消化管出血,悪性リンパ腫,慢性/急性骨髄性白血病,MDS/再生不良性貧血,抗リン脂質抗体症候群,周期性四肢麻痺,ALS,甲状腺機能低下症,偽通風,血液悪性腫瘍,膠原病
喉頭蓋炎,脳静脈血栓症,アルコール離脱,尿毒症,脳出血,脳出血,肝不全,心不全,心不全,ARDS,後鼻漏/副鼻腔炎,心不全,SLE,間質性肺炎,心筋梗塞,心筋梗塞/不安定狭心症,心筋梗塞,心筋梗塞,糸球体腎炎,褐色細胞腫,食道癌/胃がん,SLE,急性膵炎,腹部大動脈瘤,炎症性腸疾患,肝硬変,甲状腺機能低下症,甲状腺機能亢進症,末梢性めまい症,急速尿細管壊死,アミロイドーシス,甲状腺機能低下症,急性肝炎,PBC,薬剤性肝障害,低 K 血症,アルコール性ケトアシドーシス,アシドーシス,利尿薬/甘草/緩下剤内服,クッシング症候群,肝硬変,多発性骨髄腫,横紋筋融解/腫瘍崩壊,溶血性貧血,結核,副腎不全,ITP,後天性血友病,低血糖,GBS/CIDP,アミロイドーシス,リウマチ性多発筋痛症,成人 Still 病,大動脈炎症候群
亜急性甲状腺炎,髄膜炎,薬物中毒,低酸素血症,多発性硬化症,硬膜下血腫,高 Ca 血症,腎不全,肺塞栓,心不全,頭頸部腫瘍,Churg-Strauss,肺膿瘍,サルコイドーシス,肺塞栓,大動脈弁狭窄症,大動脈弁狭窄症,貧血,甲状腺機能低下,クッシング症候群,消化管海洋,結節性多発動脈炎,尿路結石,尿路結石,憩室出血,結核,副甲状腺機能亢進症,骨盤内炎症性疾患,心筋梗塞,心不全,多発性骨髄腫,横紋筋融解症,ウイルス肝炎,胆石/胆管がん,急性肝炎,脳出血/脳炎/脳梗塞,糖尿病性ケトアシドーシス,SLE,クッシング症候群,髄膜炎/脳腫瘍,ネフローゼ,サルコイドーシス,膵炎,HUS/TTP,サルコイドーシス,甲状腺異能亢進症,脾機能亢進症,Ⅶ因子欠損,ギランバレー症候群,重症筋無力症,糖尿病,成人 Still 病,血管炎,炎症性腸疾患
,脳炎,肝不全,症候性てんかん,小脳梗塞,脳梗塞,甲状腺機能低下症,急性喉頭蓋炎,肺高血圧症,COPD,心不全,RA/SLE,アスペルギルス,血管炎,心不全,心膜炎,肥大型心筋症,敗血症,肝硬変,副甲状腺機能亢進症,逆流性食道炎,溶血性貧血,AAA/DAA,腎梗塞,ポリープ/腫瘍,急性膵炎,低 K 血症,薬剤性腸炎,ジギタリス/テオフィリン,肝硬変,HBV/HCV,多発性筋炎,PBC,PSC,ウイルス肝炎,重症肺炎/ARDS,腎不全,多発性骨髄腫,原発性アルドステロン症,尿崩症,慢性腎不全,甲状腺機能亢進症,副甲状腺機能低下,悪性貧血,多発性骨髄腫,リウマチ性関節炎,敗血症,ワーファリン,多発性硬化症,甲状腺機能低下症,尿毒症,血管炎,炎症性腸疾患,リウマチ性多発筋痛症
,脳腫瘍,甲状腺機能異常,SLE,ヘルペス/前庭神経炎,脳炎/辺縁系脳炎,悪性貧血,好酸球増多症,急性好酸球性肺炎,神経筋疾患,肺結核,結核,サルコイドーシス,心不全,心タンポナーデ,肺塞栓,肺塞栓,低血糖,深部静脈血栓症,腎血管性,Mallory-Weiss 症候群,急性心筋梗塞,子宮外妊娠,尿路感染症,腸結核,門脈塞栓/腫瘍/内膜症,高 Ca 血症,過敏性腸症候群,妊娠/子宮外妊娠,横紋筋融解症,?状糸球体硬化症,悪性症候群,自己免疫性肝炎,アミロイドーシス,アルコール性肝炎,呼吸筋疲労,心不全,溶血性貧血,嘔吐/経鼻胃管/摂食障害,アミロイドーシス,心不全,転移性骨腫瘍/VitD過剰,ビタミンD欠乏,鉄欠乏性貧血,SLE,顕微鏡的多発血管炎,白血病/転移性骨腫瘍,DIC,脳梗塞,麻疹/EB,低 Ca 血症,感染性心内膜炎,リウマチ性関節炎,高 Ca 血症
,高血圧脳症,低血糖/高血糖,不整脈,末梢性めまい,髄膜炎,副腎不全,Churg-Strauss,過敏性肺臓炎,喉頭蓋炎,肺炎,急性膵炎,肺塞栓,強皮症/SLE,緊張性気胸,心筋炎,心タンポナーデ,消化管出血,アミロイドーシス,アルドステロン症,,アレルギー性紫斑病,卵巣軸捻転,急性膵炎,,収縮性心膜炎,強皮症,,脳出血,薬剤性,膜性腎症,心筋炎/心筋梗塞,溶血性貧血,骨髄腫,PBC,喘息重積発作,敗血症,横紋筋融解症,悪性貧血治療後,重篤な低 K 血症,高齢者の肺疾患,副甲状腺機能亢進症,,慢性炎症/膠原病,悪性貧血,潰瘍性大腸炎,肝硬変,肝硬変,脳腫瘍/脳膿瘍,SLE,ギランバレー症候群,血液悪性腫瘍/骨髄腫,SLE,貧血
,緑内障,SLE,アルコール離脱,消化管出血,低血糖,SLE,アレルギー性肺アスペルギルス症,間質性肺炎,気胸,過敏性肺臓炎,肝硬変,肺高血圧症,急性好酸球性肺炎,大動脈瘤破裂,胆のう炎/胆管炎,左房粘液腫,褐色細胞腫,心不全,高 Ca 血症,,胆石/胆のう炎,上腸間膜動脈閉塞症,悪性腫瘍/骨転移,,心不全,パーキンソン病,,髄膜炎,敗血症,急速進行性腎炎,薬剤性 CPK 上昇,横紋筋融解症,粟粒結核/肺結核,自己免疫性肝炎,,薬物中毒,薬剤性高 K 血症,周期性四肢麻痺,高 Ca 血症,SIADH,,,多発性骨髄腫,脾機能亢進症,Churg-Strauss症候群,DIC,Vit K 欠乏,脳出血,PM/DM,CIDP,リウマチ熱,感染性心内膜炎,糖尿病
