examination,sensitivity,specificity,LR_positive,LR_negative,memo,source
発熱,,,1.8,0.4,,JAMA版論理的診察の技術 p352
体熱感,88,15,1,0.7,,JAMA版論理的診察の技術 p352
咳嗽,,,1.1,0.42,,JAMA版論理的診察の技術 p352
筋痛,,,0.93,1.2,,JAMA版論理的診察の技術 p352
倦怠感,73,26,0.98,1.1,,JAMA版論理的診察の技術 p352
頭痛,,,1,0.75,,JAMA版論理的診察の技術 p352
咽頭痛,,,1,0.96,,JAMA版論理的診察の技術 p352
くしゃみ,,,1.2,0.87,,JAMA版論理的診察の技術 p352
鼻閉,,,1.1,0.49,,JAMA版論理的診察の技術 p352
悪寒,83,25,1.1,0.68,,JAMA版論理的診察の技術 p352
ワクチン接種歴,,,0.63,1.1,,JAMA版論理的診察の技術 p352
発熱＋咳嗽,,,1.9,0.54,,JAMA版論理的診察の技術 p352
発熱＋咳嗽＋急性発症,,,2,0.54,,JAMA版論理的診察の技術 p352
