examination,sensitivity,specificity,LR_positive,LR_negative,memo,source
食欲不振,65,50,,,患者数1135,JAMA版論理的診察の技術 p142
嘔吐,71,53,1.5,0.6,患者数1338,JAMA版論理的診察の技術 p142
発熱(>38℃),35,80,1.5,0.9,患者数1292,JAMA版論理的診察の技術 p142
筋性防御,45,70,,,患者数1170,JAMA版論理的診察の技術 p142
Murphy徴候,65,87,2.8,0.5,患者数565,JAMA版論理的診察の技術 p142
嘔気,77,36,,,患者数669,JAMA版論理的診察の技術 p142
反跳痛,30,68,1,1,患者数1381,JAMA版論理的診察の技術 p142
直腸診による圧痛,8,82,,,患者数1170,JAMA版論理的診察の技術 p142
筋硬直,11,87,,,患者数1140,JAMA版論理的診察の技術 p142
右上腹部の腫瘤,21,80,0.8,1,患者数408,JAMA版論理的診察の技術 p142
右上腹部の自発痛,81,67,1.5,0.7,患者数949,JAMA版論理的診察の技術 p142
右上腹部の圧痛,77,54,1.6,0.4,患者数1001,JAMA版論理的診察の技術 p142
ALP＞120U/L,45,52,0.8,1.1,患者数556,JAMA版論理的診察の技術 p142
ASTまたはALT上昇,38,62,1,1,"AST>48, ALT>40",JAMA版論理的診察の技術 p142
総ビリルビン＞2mg,45,63,1.3,0.9,患者数674,JAMA版論理的診察の技術 p142
"Tbil,AST,ATL全て上昇",34,80,1.6,0.8,患者数270,JAMA版論理的診察の技術 p142
白血球>1万,63,57,1.5,0.6,患者数1197,JAMA版論理的診察の技術 p142
白血球>1万と発熱,24,85,1.6,0.9,患者数351,JAMA版論理的診察の技術 p142
