examination,sensitivity,specificity,LR_positive,LR_negative,memo,source
症状:発作性夜間呼吸困難,41,84,2.6,0.7,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
症状:起坐呼吸,50,77,2.2,0.65,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
症状:浮腫,51,76,2.1,0.64,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
症状:労作性呼吸困難,84,34,1.3,0.48,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
症状:疲労感と体重増加,31,70,1,0.99,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
症状:咳嗽,36,61,0.93,1,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
聴診:Ⅲ音,13,99,11,0.88,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
聴診:腹部頚静脈逆流,24,96,6.4,0.79,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
聴診:頚静脈怒張,39,92,5.1,0.66,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
聴診:crackles,60,78,2.8,0.51,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
聴診:何らかの心雑音,27,90,2.6,0.81,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
診察:下肢浮腫,50,78,2.3,0.64,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
診察:Valsalva法,73,63,2.1,0.41,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
診察:収縮期血圧<100mmHg,6,97,2,0.97,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
聴診:Ⅳ音（心房ギャロップ）,5,97,1.6,0.98,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
診察:収縮期血圧≧150mmHg,28,73,1,0.99,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
診察:喘鳴,22,58,0.52,1.3,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
診察:腹水,1,97,0.33,1,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
既往:心不全,60,90,5.8,0.45,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
既往:心筋梗塞,40,87,3.1,0.69,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
既往:冠動脈疾患,52,70,1.8,0.68,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
既往:脂質異常症,23,87,1.7,0.89,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
既往:糖尿病,28,83,1.7,0.86,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
既往:高血圧,60,56,1.4,0.71,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
既往:喫煙歴,62,27,0.84,1.4,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
既往:慢性閉塞性肺疾患,34,57,0.81,1.1,連続掛け合わせ禁,JAMA版論理的診察の技術 p203
Xp:肺静脈うっ血,54,96,12,0.48,連続掛け合わせ禁,JAMA版論理的診察の技術 p204
Xp:間質浮腫,34,97,12,0.68,連続掛け合わせ禁,JAMA版論理的診察の技術 p204
Xp:肺胞浮腫,6,99,6,0.95,連続掛け合わせ禁,JAMA版論理的診察の技術 p204
Xp:心拡大,74,78,3.4,0.33,連続掛け合わせ禁,JAMA版論理的診察の技術 p204
Xp:胸水,26,92,3.2,0.81,連続掛け合わせ禁,JAMA版論理的診察の技術 p204
Xp:何らかの浮腫,70,77,3.1,0.38,連続掛け合わせ禁,JAMA版論理的診察の技術 p204
Xp:肺炎,4,92,0.5,1,連続掛け合わせ禁,JAMA版論理的診察の技術 p204
Xp:過膨張,3,92,0.38,1.1,連続掛け合わせ禁,JAMA版論理的診察の技術 p204
ECG:心房細動,26,93,3.8,0.79,連続掛け合わせ禁,JAMA版論理的診察の技術 p204
ECG:新たなT波の変化,24,92,3,0.83,連続掛け合わせ禁,JAMA版論理的診察の技術 p204
ECG:何らかの異常所見,50,78,2.2,0.64,連続掛け合わせ禁,JAMA版論理的診察の技術 p204
ECG:ST上昇,5,97,1.8,0.98,連続掛け合わせ禁,JAMA版論理的診察の技術 p204
ECG:ST低下,11,94,1.7,0.95,連続掛け合わせ禁,JAMA版論理的診察の技術 p204
BNP≧250,89,81,4.6,0.14,連続掛け合わせ禁,JAMA版論理的診察の技術 p205
BNP≧200,92,75,3.7,0.11,連続掛け合わせ禁,JAMA版論理的診察の技術 p205
BNP≧150,89,71,3.1,0.15,連続掛け合わせ禁,JAMA版論理的診察の技術 p205
BNP≧100,93,66,2.7,0.11,連続掛け合わせ禁,JAMA版論理的診察の技術 p205
BNP≧80,96,71,3.3,0.06,連続掛け合わせ禁,JAMA版論理的診察の技術 p205
BNP≧50,97,44,1.7,0.06,連続掛け合わせ禁,JAMA版論理的診察の技術 p205
BNP<50,97,44,0.06,,連続掛け合わせ禁,JAMA版論理的診察の技術 p205
