examination,sensitivity,specificity,LR_positive,LR_negative,memo,source
右下腹部痛,84,90,,,,JAMA版論理的診察の技術 p59
筋硬直,20,89,3.8,0.82,,JAMA版論理的診察の技術 p59
痛みの移動,64,82,3.2,0.5,,JAMA版論理的診察の技術 p59
嘔吐よりも腹痛が先行,100,64,2.8,,,JAMA版論理的診察の技術 p59
腸腰筋徴候,16,95,2.4,0.9,,JAMA版論理的診察の技術 p59
発熱,67,79,1.9,0.58,,JAMA版論理的診察の技術 p59
反跳痛,63,69,,,,JAMA版論理的診察の技術 p59
筋性防御,73,52,,,,JAMA版論理的診察の技術 p59
以前に同じ痛みがない,86,40,1.5,0.32,,JAMA版論理的診察の技術 p59
直腸診での圧痛,41,77,,,,JAMA版論理的診察の技術 p59
食欲不振,68,36,1.3,0.64,,JAMA版論理的診察の技術 p59
嘔気,58,37,,,,JAMA版論理的診察の技術 p59
嘔吐,51,45,0.92,1.1,,JAMA版論理的診察の技術 p59
